"ID";"RegioS";"Code_1";"Naam_2";"SorteringNaam_3"
"329";"GM0981    ";"GM0981    ";"Vaals                                             ";"Vaals                                             "
"330";"GM0994    ";"GM0994    ";"Valkenburg aan de Geul                            ";"Valkenburg aan de Geul                            "
"331";"GM0858    ";"GM0858    ";"Valkenswaard                                      ";"Valkenswaard                                      "
"332";"GM0047    ";"GM0047    ";"Veendam                                           ";"Veendam                                           "
"333";"GM0345    ";"GM0345    ";"Veenendaal                                        ";"Veenendaal                                        "
"334";"GM0717    ";"GM0717    ";"Veere                                             ";"Veere                                             "
"335";"GM0860    ";"GM0860    ";"Veghel                                            ";"Veghel                                            "
"336";"GM0861    ";"GM0861    ";"Veldhoven                                         ";"Veldhoven                                         "
"337";"GM0453    ";"GM0453    ";"Velsen                                            ";"Velsen                                            "
"338";"GM0983    ";"GM0983    ";"Venlo                                             ";"Venlo                                             "
"339";"GM0984    ";"GM0984    ";"Venray                                            ";"Venray                                            "
"340";"GM0620    ";"GM0620    ";"Vianen                                            ";"Vianen                                            "
"341";"GM0622    ";"GM0622    ";"Vlaardingen                                       ";"Vlaardingen                                       "
"342";"GM0048    ";"GM0048    ";"Vlagtwedde                                        ";"Vlagtwedde                                        "
"343";"GM0096    ";"GM0096    ";"Vlieland                                          ";"Vlieland                                          "
"344";"GM0718    ";"GM0718    ";"Vlissingen                                        ";"Vlissingen                                        "
"345";"GM0986    ";"GM0986    ";"Voerendaal                                        ";"Voerendaal                                        "
"346";"GM0626    ";"GM0626    ";"Voorschoten                                       ";"Voorschoten                                       "
"347";"GM0285    ";"GM0285    ";"Voorst                                            ";"Voorst                                            "
"348";"GM0865    ";"GM0865    ";"Vught                                             ";"Vught                                             "
"349";"GM0866    ";"GM0866    ";"Waalre                                            ";"Waalre                                            "
"350";"GM0867    ";"GM0867    ";"Waalwijk                                          ";"Waalwijk                                          "
"351";"GM0627    ";"GM0627    ";"Waddinxveen                                       ";"Waddinxveen                                       "
"352";"GM0289    ";"GM0289    ";"Wageningen                                        ";"Wageningen                                        "
"353";"GM0629    ";"GM0629    ";"Wassenaar                                         ";"Wassenaar                                         "
"354";"GM0852    ";"GM0852    ";"Waterland                                         ";"Waterland                                         "
"355";"GM0988    ";"GM0988    ";"Weert                                             ";"Weert                                             "
"356";"GM0457    ";"GM0457    ";"Weesp                                             ";"Weesp                                             "
"357";"GM0870    ";"GM0870    ";"Werkendam                                         ";"Werkendam                                         "
"358";"GM0668    ";"GM0668    ";"West Maas en Waal                                 ";"West Maas en Waal                                 "
"359";"GM1701    ";"GM1701    ";"Westerveld                                        ";"Westerveld                                        "
"360";"GM0293    ";"GM0293    ";"Westervoort                                       ";"Westervoort                                       "
"361";"GM1783    ";"GM1783    ";"Westland                                          ";"Westland                                          "
"362";"GM0098    ";"GM0098    ";"Weststellingwerf                                  ";"Weststellingwerf                                  "
"363";"GM0614    ";"GM0614    ";"Westvoorne                                        ";"Westvoorne                                        "
"364";"GM0189    ";"GM0189    ";"Wierden                                           ";"Wierden                                           "
"365";"GM0296    ";"GM0296    ";"Wijchen                                           ";"Wijchen                                           "
"366";"GM1696    ";"GM1696    ";"Wijdemeren                                        ";"Wijdemeren                                        "
"367";"GM0352    ";"GM0352    ";"Wijk bij Duurstede                                ";"Wijk bij Duurstede                                "
"368";"GM0053    ";"GM0053    ";"Winsum                                            ";"Winsum                                            "
"369";"GM0294    ";"GM0294    ";"Winterswijk                                       ";"Winterswijk                                       "
"370";"GM0873    ";"GM0873    ";"Woensdrecht                                       ";"Woensdrecht                                       "
"371";"GM0632    ";"GM0632    ";"Woerden                                           ";"Woerden                                           "
"372";"GM1690    ";"GM1690    ";"De Wolden                                         ";"Wolden De                                         "
"373";"GM0880    ";"GM0880    ";"Wormerland                                        ";"Wormerland                                        "
"374";"GM0351    ";"GM0351    ";"Woudenberg                                        ";"Woudenberg                                        "
"375";"GM0874    ";"GM0874    ";"Woudrichem                                        ";"Woudrichem                                        "
"376";"GM0479    ";"GM0479    ";"Zaanstad                                          ";"Zaanstad                                          "
"377";"GM0297    ";"GM0297    ";"Zaltbommel                                        ";"Zaltbommel                                        "
"378";"GM0473    ";"GM0473    ";"Zandvoort                                         ";"Zandvoort                                         "
"379";"GM0707    ";"GM0707    ";"Zederik                                           ";"Zederik                                           "
"380";"GM0478    ";"GM0478    ";"Zeevang                                           ";"Zeevang                                           "
"381";"GM0050    ";"GM0050    ";"Zeewolde                                          ";"Zeewolde                                          "
"382";"GM0355    ";"GM0355    ";"Zeist                                             ";"Zeist                                             "
"383";"GM0299    ";"GM0299    ";"Zevenaar                                          ";"Zevenaar                                          "
"384";"GM0637    ";"GM0637    ";"Zoetermeer                                        ";"Zoetermeer                                        "
"385";"GM0638    ";"GM0638    ";"Zoeterwoude                                       ";"Zoeterwoude                                       "
"386";"GM0056    ";"GM0056    ";"Zuidhorn                                          ";"Zuidhorn                                          "
"387";"GM1892    ";"GM1892    ";"Zuidplas                                          ";"Zuidplas                                          "
"388";"GM0879    ";"GM0879    ";"Zundert                                           ";"Zundert                                           "
"389";"GM0301    ";"GM0301    ";"Zutphen                                           ";"Zutphen                                           "
"390";"GM1896    ";"GM1896    ";"Zwartewaterland                                   ";"Zwartewaterland                                   "
"391";"GM0642    ";"GM0642    ";"Zwijndrecht                                       ";"Zwijndrecht                                       "
"392";"GM0193    ";"GM0193    ";"Zwolle                                            ";"Zwolle                                            "
