GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_SPECIALISTISCHE_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_MDZ;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_LANGDURIGE_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_VERPLEGING_EN_VERZORGING;KOSTEN_OVERIG
V;20 t/m 24 jaar;GILZE EN RIJEN;655;647.60;395101.22;73880.14;354127.36;37504.34;23871.23;1691.94;21360.90;3969.40;2493.85;5953.14;4391.00;0.00;12619.37;30602.80;25343.79;4896.47;0.00;9735.97;3.60;0.00;1066.07;23318.84
V;25 t/m 29 jaar;GILZE EN RIJEN;641;632.81;694905.05;63664.12;95046.64;36502.42;25777.92;1601.39;22527.26;15728.31;3751.34;9642.10;3245.63;1202.89;8521.49;117333.63;93562.86;14312.65;15032.94;21218.04;9.00;0.00;106.20;23890.86
V;30 t/m 34 jaar;GILZE EN RIJEN;671;665.64;1098954.35;112387.35;153223.38;38471.29;29449.49;3439.57;20924.67;25037.02;3137.53;6055.24;3791.81;0.00;5092.29;153949.33;113517.51;11511.11;0.00;5874.06;10.80;0.00;129.18;31417.15
V;35 t/m 39 jaar;GILZE EN RIJEN;746;742.11;718942.74;119669.62;138022.94;43335.50;29814.55;3035.53;20882.31;50320.41;21275.61;12614.43;5532.37;6718.39;19299.59;57970.90;42526.02;7609.98;0.00;4021.04;9.00;0.00;22233.62;39656.72
V;40 t/m 44 jaar;GILZE EN RIJEN;867;864.06;810040.62;155847.03;194472.62;50430.25;34855.42;6312.41;25277.47;39082.28;5939.81;17790.20;4471.24;174.93;14481.78;15632.22;6959.46;6956.95;0.00;4657.50;4.50;0.00;431.04;29500.26
V;45 t/m 49 jaar;GILZE EN RIJEN;942;939.12;936592.02;205500.78;112473.00;54561.89;38513.16;16104.37;21772.22;48166.95;4716.04;19310.39;8980.03;10346.05;13551.04;84.25;284.37;9622.19;0.00;37223.25;9.90;0.00;38513.80;28679.76
V;50 t/m 54 jaar;GILZE EN RIJEN;1076;1075.03;1072117.81;239814.56;128122.10;62820.25;46897.29;28586.08;26072.28;101327.66;35243.99;44169.07;8772.63;4189.13;20887.65;0.00;0.00;6454.95;0.00;43416.33;12.60;0.00;101588.34;24061.70
V;55 t/m 59 jaar;GILZE EN RIJEN;955;951.21;1741733.95;295323.75;47073.76;55356.75;44206.91;36423.97;25288.12;109131.87;30072.29;53375.41;5064.93;10436.22;26983.91;0.00;0.00;7344.98;0.00;7406.24;9.00;13138.78;65220.13;24394.93
V;60 t/m 64 jaar;GILZE EN RIJEN;863;860.94;1304904.51;325258.45;123949.14;50386.00;41553.51;47494.35;21438.83;110720.51;62829.86;39951.10;6940.03;12783.70;19631.01;0.00;0.00;3441.55;0.00;48695.58;3.60;0.00;117291.21;27754.91
V;65 t/m 69 jaar;GILZE EN RIJEN;891;889.24;1576779.81;414069.05;80411.01;73109.88;47984.71;80431.34;24579.32;136715.51;53127.04;67368.28;9481.92;7303.84;30724.35;0.00;0.00;3489.69;0.00;4216.18;5.40;33177.81;40227.08;29437.06
